연번,가격,상품명,상세정보
477,"최저1,249,000원",한성컴퓨터 TFG MX4A7646i,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7600, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB  "
478,"최저1,499,000원",HP TG01-2003KR,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-5600G, CPU종류 : 라이젠 5코어종류 : 6코어램용량 : 16GB, SSD용량 : 512GB        "
479,"229,000원",삼성컴퓨터 본체 초고속 SSD 사무용 조립식PC 미들형 데스크탑 DB400t6b,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-6500, CPU종류 : 코어i5 6세대코어종류 : 4코어, 메인보드 : (인텔) H110, 칩셋램용량 : 8GB "
480,"최저1,043,080원",한성컴퓨터 보스몬스터 AX 7800AX3D,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어, 메인보드 : (AMD) B650, 칩셋램용량 : 32GB "
481,"860,000원",HP 컴퓨터 S01 PF4000KL슬림형 14세대 i5 14400 8G SSD 256G + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
482,"850,000원",HP 컴퓨터 S01 PF4001KL 슬림형 14세대 i3 14100 32G SSD 256G + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i3-14100, CPU종류 : 코어i3 14세대, SSD용량 : 256GBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
483,"1,060,000원",HP 컴퓨터 S01 PF4000KL 슬림형 14세대 i5 14400 32G SSD 1T + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
484,"960,000원",HP 컴퓨터 S01 PF4000KL 슬림형 14세대 i5 14400 32G SSD 256G + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
485,"790,000원",HP 컴퓨터 S01 PF4000KL 슬림형 14세대 i5 14400 8G SSD 256G 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GB, 운영체제 : 윈도우11 프로
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
486,"980,000원",가성비보장 게이밍 중고컴퓨터 13400F,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F, , 그래픽 : 지포스 RTX3060 Ti, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4"
487,"299,000원",로스트아크 로아 오버워치 메이플 롤 게임용 게이밍 조립식컴퓨터 견적 기본형A 온컴PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 14세대, CPU : 코어i5-14600KF, , 그래픽 : 지포스 RTX4070 SUPER, 메인보드 : (인텔)B760M, 칩셋램용량 : 32GB"
488,"650,000원",HP 컴퓨터 S01 PF4001KL 슬림형 14세대 i3 14100 8G SSD 256G 윈도우11프로 사무용컴퓨터,"CPU : 코어i3-14100, CPU종류 : 코어i3 14세대, SSD용량 : 256GB, 운영체제 : 윈도우11 프로
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
489,"407,000원",아싸컴 롤 가능한 사무용 PC AMD 5600G/내장그래픽 조립 컴퓨터 본체 데스크탑,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600G
포토리뷰 리워드 4000원 지급 !!"
490,"최저289,000원",한성컴퓨터 프리워커 F2100,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-G5900, CPU종류 : 셀러론코어종류 : 2코어, 메인보드 : (인텔)H510, 칩셋램용량 : 8GB, SSD용량 : 250GB   "
491,"269,000원",온컴 PC 인강용 사무실 가정용 사무용 컴퓨터 견적 조립 데스크탑 조립식컴퓨터 가성비형A,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F색상 : 화이트품목 : 데스크탑"
492,"최저749,000원",HP 파빌리온 TP01-3005KR,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i7-12700, CPU종류 : 코어i7 12세대코어종류 : 8+4코어램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 2.1GHz        "
493,"최저853,000원",컬러풀 미오 4060,"종류 : 베어본PC, , 그래픽 : 지포스 RTX4060, 메인보드 : (인텔)B760, , 그래픽 메모리 : 8GB확장슬롯 : PCI-Express형태 : 타워형케이스크기(폭) : 220mm품목 : 데스크탑"
494,"999,000원",HP AI 27인치 일체형 올인원 PC 사무용 본체 학교 병원 컴퓨터 데스크탑 윈11,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔, CPU종류 : 코어 5        
포토 리뷰 작성시 한컴오피스 증정"
495,"513,750원",삼성 게이밍PC 중고컴퓨터 리퍼 7세대 i5-7500 GTX1660슈퍼 Ti 윈도우11,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i5-7500, , 그래픽 : 지포스GTX1660Super램용량 : 16GB코드명 : 카비레이크(7세대), SSD용량 : 512GB랜 : 유선랜 1Gbps  "
496,"521,000원",[에이수스] ASUS 고성능 초소형 미니컴퓨터 데스크탑 BEST 모음전,[롯데카드7%할인:484530원]
497,"999,000원",피씨스토어 베스트 게이밍PC 7500F RX7600 라라랜드 No.1,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 라데온 RX-7600, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB, 램규격 : DDR5"
498,"165,110원",델 미니 데스크탑 리퍼PC 7세대 가정용 사무용 PC 본체 HDMI 윈도우11,"품목 : 데스크탑형태 : 큐브형특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄-G4560램용량 : 8GB, SSD용량 : 256GB, , 그래픽 : 인텔HD610, 운영체제 : 윈도우11  "
499,"최저739,000원",한성컴퓨터 F12700,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i7-12700, CPU종류 : 코어i7 12세대코어종류 : 8+4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 250GB  "
500,"최저759,000원",한성컴퓨터 오피스마스터 i13565,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대코어종류 : 10코어     "
501,"939,000원",삼성전자 데스크탑 i5 PC 가정용 업무용 사무용 본체 컴퓨터 고사양 프리미어 슬림형,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-14400
메모리 특가/ 무료퀵서비스"
502,"699,900원",이엑스코리아 인텔13세대 DDR5 16G게임용 롤 배그 리니지TL 조립컴퓨터PC 본체00,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 13세대, CPU : 코어i3-13100     
믿을수있는회사 당일발송 제조사별 규정에 따른 철저한 품질보증!!"
503,"최저272,000원",IGNIQ 리트 타이니타워 RT-TTP00001,"품목 : 미니PC형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-N4020, CPU종류 : 셀러론코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB     "
504,"300,000원",조립PC 게이밍컴퓨터 고사양 게임용 데스크탑 롤 디아블로4 배그 본체 사무용 PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F, , 그래픽 : 지포스GTX1660Super, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB     "
505,"최저879,000원",한성컴퓨터 F12700W,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i7-12700, CPU종류 : 코어i7 12세대코어종류 : 8+4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 250GB  "
506,"1,080,000원",고사양 영상편집 게이밍컴퓨터 본체 조립컴 수냉 조립식 데스크탑 4060 TI 조립PC,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F        
포토후기 5000원 지급!!"
507,"최저337,930원",주연테크 D1v55G,"품목 : 데스크탑특징 : 사무용CPU제조사 : AMDCPU : 라이젠5-5500GT, CPU종류 : 라이젠 5, 메인보드 : (AMD) B450M, 칩셋램용량 : 8GB, SSD용량 : 256GB  "
508,"최저909,000원",레노버 AIO3-27ALC6 R5,"형태 : 일체형PC특징 : 사무용CPU제조사 : AMDCPU : 라이젠5-7530U, CPU종류 : 라이젠 5코어종류 : 6코어램용량 : 16GB, SSD용량 : 256GB     "
509,"최저738,500원",삼성전자 DM500SDA-AC24W,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G6405, CPU종류 : 펜티엄 골드코어종류 : 2코어, 메인보드 : (인텔)Q470, 칩셋램용량 : 4GB        "
510,"최저2,010,760원",LG전자 27V70N-PA7DK,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-10510U, CPU종류 : 코어i7 10세대코어종류 : 4코어램용량 : 8GB   "
511,"1,095,000원",컴집 게이밍 조립식 컴퓨터 게임용12번 단일상품,와우 멤버십 가입 시 최대 5% 캐시 적립(30일간 최대 5만원) / 와우 멤버십 30일 무료 체험 중
512,"52,000원",컴퓨터렌탈 컴퓨터대여 임대 i7 RTX3060 방송용 조립컴퓨터 게이밍 1번 3일,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 12세대, CPU : 코어i7-12700F"
513,"1,250,000원",블루컴퓨터 라이젠 7600 RTX 4060 Ti 게이밍 컴퓨터 배그 디아블로 롤 게임용 본체,"종류 : 조립형PC, CPU제조사 : AMDCPU : 라이젠5-7600, , 그래픽 : 지포스 RTX4060 Ti램용량 : 16GB, 램규격 : DDR5, SSD용량 : 256GBSSD 인터페이스 : NVMeM.2 "
514,"최저999,000원",삼성전자 삼성 DM500TCA-A58AB,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-10400, CPU종류 : 코어i5 10세대코어종류 : 6코어, 메인보드 : (인텔) H470, 칩셋램용량 : 8GB, SSD용량 : 256GB      "
515,"최저1,390,000원",삼성전자 삼성 DM500TFC-AC58B,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400, CPU종류 : 코어i5 13세대램용량 : 8GB, SSD용량 : 256GBHDD용량 : 1TB"
516,"최저2,096,240원",한성컴퓨터 보스몬스터 DX 870ANS3,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어     "
517,"최저2,249,000원",ASUS ROG G15CF-A7R8005,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-12700F, CPU종류 : 코어i7 12세대코어종류 : 12코어, 메인보드 : (인텔)B660, 칩셋램용량 : 8GB    "
518,"398,000원",HP 컴퓨터 i7-8700 사무용 데스크탑 기업용 정품 Win11 Pro 탑재 PC 본체,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i7-8700, CPU종류 : 코어i7 8세대코어종류 : 6코어램용량 : 8GB, SSD용량 : 512GB, 운영체제 : 윈도우11 프로"
519,"299,000원",주식용 컴퓨터 다중 모니터 2대 4대 사무용 코인 거래용 주식 조립 본체 사양 온컴PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 14세대, CPU : 코어i5-14400F, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB속도(기본클럭) : 2.5GHz부스트클럭 : 4.7GHz"
520,"2,603,300원","Mi8 WING 화이트 감성 PC / RTX 4080S, 4070Ti Super, 4070S","종류 : 조립형PC, 품목 : 데스크탑"
521,"330,000원",다나와 비교 중고 조립 게이밍 컴퓨터 본체 롤 피파 배그i5-6세대 16G 1060-3G,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 6세대, CPU : 코어i5"
522,"최저1,077,110원",주연테크 D475F66W,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB, SSD용량 : 512GB  "
523,"최저1,269,000원",HP 파빌리온 24-ca2001kl,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13400T, CPU종류 : 코어i5 13세대코어종류 : 10코어램용량 : 8GB, SSD용량 : 512GB "
524,"869,000원",I5-12400F RTX3060 Ti 메모리친구 게이밍 PC 조립식 컴퓨터,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX3060 Ti, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4"
525,"최저1,290,340원",한성컴퓨터 TFG AX3i700XZ,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-13700K, CPU종류 : 코어i7 13세대코어종류 : 8+8코어, 메인보드 : (인텔)Z790램용량 : 16GB"
526,"최저1,179,000원",삼성전자 삼성 DM530ADA-L58AW,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-1135G7, CPU종류 : 코어i5 11세대코어종류 : 4코어램용량 : 8GB, SSD용량 : 256GB  "
527,"3,189,800원",2024 Trendy 화이트 5 PRO 윈도우 11 탑재 PC 게이밍 고성능 컴퓨터 본체,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 14세대, CPU : 코어i5-14600KF, , 그래픽 : 지포스 RTX4070 TI SUPER, 메인보드 : (인텔)B760램용량 : 32GB, 램규격 : DDR5"
528,"최저769,000원",LG전자 24V50N-LRP1K,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G6405U, CPU종류 : 펜티엄 골드코어종류 : 2코어   "
529,"790,000원",HP 컴퓨터 S01 PF4001KL 슬림형 14세대 i3 14100 32G SSD 256G 윈도우11프로 사무용컴퓨터,"CPU : 코어i3-14100, CPU종류 : 코어i3 14세대, SSD용량 : 256GB, 운영체제 : 윈도우11 프로
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
530,"960,000원",HP 컴퓨터 S01 PF4000KL슬림형 14세대 i5 14400 8G SSD 1T + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
531,"890,000원",HP 컴퓨터 S01 PF4000KL슬림형 14세대 i5 14400 32G SSD 256G 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GB, 운영체제 : 윈도우11 프로
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
532,"639,000원",가성비 보장 중고컴퓨터 12세대 엘더레이크,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스GTX1660Super, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4"
533,"810,000원",HP 컴퓨터 S01 PF4001KL 슬림형 14세대 i3 14100 8G SSD 1T + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i3-14100, CPU종류 : 코어i3 14세대, SSD용량 : 1TBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
534,"1,120,000원",HP 컴퓨터 S01 PF4000KL 슬림형 14세대 i5 14400 64G SSD 256G + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
535,"1,220,000원",HP 컴퓨터 S01 PF4000KL 슬림형 14세대 i5 14400 64G SSD 1T + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, SSD용량 : 256GBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
536,"269,000원",온컴 PC 인강용 사무실 가정용 사무용 컴퓨터 견적 조립 데스크탑 조립식컴퓨터 가성비형A,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F색상 : 화이트품목 : 데스크탑"
537,"최저1,132,000원",청운테크 왕가피씨 WGSL7,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 10세대, CPU : 코어i7-10700F, , 그래픽 : 지포스RTX2060, 메인보드 : (인텔)H410, 칩셋램용량 : 16GB"
538,"169,000원",i3 i5 i7 조립컴견적 에스컴퓨터 롤 게이밍 사무용컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 10세대, CPU : 코어i3-10100F, , 그래픽 : 지포스GTX1060, 메인보드 : (인텔)H410, 칩셋램용량 : 8GB        "
539,"최저1,143,820원",한성컴퓨터 TFG AX3i600XZ,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13600KF, CPU종류 : 코어i5 13세대코어종류 : 6+8코어, 메인보드 : (인텔)Z790램용량 : 16GB"
540,"최저332,000원",IGNIQ 이그닉리트 스탠다드PC 2100 Win11,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-G6900, CPU종류 : 셀러론코어종류 : 2코어, 메인보드 : (인텔)H610, 칩셋램용량 : 4GB      "
541,"최저839,890원",삼성전자 삼성 DM500SGA-AC28B,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄-300, CPU종류 : 펜티엄, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 3.9GHz    "
542,"최저538,000원",주연테크 굿워크 D1v12100W,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-12100, CPU종류 : 코어i3 12세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB      "
543,"최저3,998,000원",HP OMEN 40L GT21-0004KR,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-12700K, CPU종류 : 코어i7 12세대코어종류 : 8+4코어, 메인보드 : (인텔)Z690, 칩셋램용량 : 16GB "
544,"800,000원",AMD 라이젠5 7600 게이밍 조립컴퓨터 반본체 완본체 조립PC 16G 1TB,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7600, , 그래픽 : 라데온 Graphics, 메인보드 : (AMD) B650M, 칩셋램용량 : 16GB   "
545,"385,000원",마이크로박스 ALU A300 AMD 5600G 120W 미니PC 사무용 산업용 컴퓨터,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5, 메인보드 : (AMD)A300칩셋, 램규격 : LPDDR4코드명 : 세잔(라이젠4세대)SSD 인터페이스 : NVMe파워 : 120W    "
546,"340,950원",인텔 i3 12100 8GB 256GB 컴퓨터 조립PC 데스크탑 사무용 627,신한/롯데/현대/KB국민/삼성 100만원 이상 결제 시 최대 22개월 무이자
547,"9,000,000원",양컴 고사양 하이엔드 커스텀수냉PC 컴퓨터 14900K,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i9 14세대, CPU : 코어i9-14900K, , 그래픽 : 지포스 RTX4090, 메인보드 : (인텔)Z790램용량 : 64GB속도(기본클럭) : 3.2GHz      "
548,"464,730원",해외비링크 BEELINK SER8 미니PC 8845HS 화이트 베어본 관부가세 포함,연간 4900원으로 신세계 유니버스 클럽 가입하시고 매월 최대 15%할인&무제한 5% 할인 기회를 놓치지 마세요! 추가로 스타벅스와 이마트 할인 혜택도 있어요!
549,"최저494,010원",주연테크 굿워크 D1v14100,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-14100, CPU종류 : 코어i3 14세대코어종류 : 4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB      "
550,"최저1,015,610원",한성컴퓨터 보스몬스터 AX 560ANTA,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-5600, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD)A520, 칩셋램용량 : 16GB "
